#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
pgk	E	E
phnC&phnE_1&phnD	NE	NE&NE&NE
phnN	NE	NE
pncB	NE	NE
potA&potB&potC&potD	NE	NE&NE&NE&NE
potA&potB&potC&potD|potG&potH&potI&potF	NE	NE&NE&NE&NE|NE&NE&NE&NE
ppk	NE	NE
proB	E	E
proV&proW&proX	NE	NE&NE&NE
pstB&pstA&pstC&pstS	NE	NE&NE&NE&NE
psuK	NE	NE
purC	E	E
puuA	NE	NE
pykF|pykA	NE	NE|NE
pyrG	E	E
pyrH	E	E
ravA	NE	NE
rbsA&rbsC&rbsB	NE	NE&NE&NE
rbsK	NE	NE
recQ|rep|dnaB	NE	NE|NE|E
rhaB	E	E
ribF	E	E
rimK	NE	NE
ssuA&ssuC&ssuB	NE	NE&NE&NE
sucD&sucC	NE	NE&NE
tauA&tauC&tauB	NE	NE&NE&NE
tcdA	NE	NE
tdk	NE	NE
thiD	NE	NE
thiD|pdxK	NE	NE|NE
thiK	NE	NE
thiL	E	E
thiM	NE	NE
thiQ&thiP&tbpA	NE	NE&NE&NE
tmk	E	E
tolC&macB&macA	NE	NE&NE&NE
udk	NE	NE
ugpC&ugpA&ugpE&ugpB	NE	NE&NE&NE&NE
waaP	NE	NE
waaY	NE	NE
wzc|etk	NE	NE|NE
xylB	NE	NE
xylG&xylH&xylF	NE	NE&NE&NE
ybcF	NE	NE
yeaG|rdoA	NE	NE|NE
yegS	NE	NE
yejF&yejB&yejE&yejA|oppC&oppD&oppF&oppB&oppA	NE	NE&NE&NE&NE|NE&NE&NE&NE&NE
yihV	NE	NE
yjeF	NE	NE
yjfF&ytfR&ytfT&ytfQ	NE	NE&NE&NE&NE
yjfF&ytfR&ytfT&ytfQ|mglA&mglC&mglB	NE	NE&NE&NE&NE|NE&NE&NE
zntA	NE	NE
znuC&znuB&znuA	NE	NE&NE&NE
cusC&cusB&cusF&cusA	NE	NE&NE&NE&NE
adiA|speA	NE	NE|NE
adiC	NE	NE
speB	NE	NE
hisH&hisF	E	E&E
purH	E	E
alaS	E	E
ahpC&ahpF	NE	NE&NE
aphA	NE	NE
